recession_start,recession_end
2020-02-15,2020-04-16
2007-12-15,2009-06-16
2001-03-15,2001-11-16
1990-07-15,1991-03-16
1981-07-15,1982-11-16
1980-01-15,1980-07-16
1973-11-15,1975-03-16
1969-12-15,1970-11-16
1960-04-15,1961-02-16
1957-08-15,1958-04-16
1953-07-15,1954-05-16
1948-11-15,1949-10-16
1945-02-15,1945-10-16
1937-05-15,1938-06-16
1929-08-15,1933-03-16
1926-10-15,1927-11-16
1923-05-15,1924-07-16
1920-01-15,1921-07-16
1918-08-15,1919-03-16
1913-01-15,1914-12-16
1910-01-15,1912-01-16
1907-05-15,1908-06-16
1902-09-15,1904-08-16
1899-06-15,1900-12-16
1895-12-15,1897-06-16
1893-01-15,1894-06-16
1890-07-15,1891-05-16
1887-03-15,1888-04-16
1882-03-15,1885-05-16
1873-10-15,1879-03-16
1869-06-15,1870-12-16
1865-04-15,1867-12-16
1860-10-15,1861-06-16
1857-06-15,1858-12-16
1854-12-02,1854-12-16
